dataset,model,origin,origin_actual,forecast_date,horizon,actual,forecast,actual_change,predicted_change,actual_direction,predicted_direction,direction_correct,mase_scale,scaled_absolute_error,elapsed_seconds,train_size,window
SPY,Naive,2018-12-31,223.5733642578125,2019-01-02,1,223.8059539794922,223.5733642578125,0.2325897216796875,0.0,1.0,0.0,False,0.7032400627714837,0.33074014691803333,2.7700094506144524e-05,6528,expanding
SPY,Naive,2018-12-31,223.5733642578125,2019-01-08,5,229.70118713378903,223.5733642578125,6.127822875976534,0.0,1.0,0.0,False,0.7032400627714837,8.71369991610924,2.7700094506144524e-05,6528,expanding
SPY,Naive,2018-12-31,223.5733642578125,2019-01-30,20,239.3717041015625,223.5733642578125,15.79833984375,0.0,1.0,0.0,False,0.7032400627714837,22.46507370681985,2.7700094506144524e-05,6528,expanding
SPY,Naive,2019-01-02,223.8059539794922,2019-01-03,1,218.46536254882807,223.8059539794922,-5.340591430664119,0.0,-1.0,0.0,False,0.703167965599135,7.595043704975472,1.7700018361210823e-05,6529,expanding
SPY,Naive,2019-01-02,223.8059539794922,2019-01-09,5,230.7747344970703,223.8059539794922,6.968780517578125,0.0,1.0,0.0,False,0.703167965599135,9.910548913644506,1.7700018361210823e-05,6529,expanding
SPY,Naive,2019-01-02,223.8059539794922,2019-01-31,20,241.47390747070312,223.8059539794922,17.667953491210938,0.0,1.0,0.0,False,0.703167965599135,25.12622069772041,1.7700018361210823e-05,6529,expanding
SPY,Naive,2019-01-03,218.46536254882807,2019-01-04,1,225.78298950195312,218.46536254882807,7.317626953125057,0.0,1.0,0.0,False,0.7038782464178002,10.396154434898591,1.7799902707338333e-05,6530,expanding
SPY,Naive,2019-01-03,218.46536254882807,2019-01-10,5,231.58876037597656,218.46536254882807,13.123397827148494,0.0,1.0,0.0,False,0.7038782464178002,18.644414561661073,1.7799902707338333e-05,6530,expanding
SPY,Naive,2019-01-03,218.46536254882807,2019-02-01,20,241.59019470214844,218.46536254882807,23.12483215332037,0.0,1.0,0.0,False,0.7038782464178002,32.853454799900426,1.7799902707338333e-05,6530,expanding
SPY,Naive,2019-01-04,225.78298950195312,2019-01-07,1,227.5631561279297,225.78298950195312,1.7801666259765625,0.0,1.0,0.0,False,0.7048910716408794,2.52544924683555,1.610000617802143e-05,6531,expanding
SPY,Naive,2019-01-04,225.78298950195312,2019-01-11,5,231.6782684326172,225.78298950195312,5.8952789306640625,0.0,1.0,0.0,False,0.7048910716408794,8.363389987251148,1.610000617802143e-05,6531,expanding
SPY,Naive,2019-01-04,225.78298950195312,2019-02-04,20,243.28990173339844,225.78298950195312,17.506912231445312,0.0,1.0,0.0,False,0.7048910716408794,24.83633703955404,1.610000617802143e-05,6531,expanding
SPY,Naive,2019-01-07,227.5631561279297,2019-01-08,1,229.70118713378903,227.5631561279297,2.1380310058593466,0.0,1.0,0.0,False,0.7050557134345306,3.032428452277024,1.6200006939470768e-05,6532,expanding
SPY,Naive,2019-01-07,227.5631561279297,2019-01-14,5,230.26483154296875,227.5631561279297,2.7016754150390625,0.0,1.0,0.0,False,0.7050557134345306,3.831860892068258,1.6200006939470768e-05,6532,expanding
SPY,Naive,2019-01-07,227.5631561279297,2019-02-05,20,244.30975341796875,227.5631561279297,16.746597290039062,0.0,1.0,0.0,False,0.7050557134345306,23.752161667425597,1.6200006939470768e-05,6532,expanding
SPY,Naive,2019-01-08,229.70118713378903,2019-01-09,1,230.7747344970703,229.70118713378903,1.0735473632812784,0.0,1.0,0.0,False,0.7052750911584168,1.5221682670204233,1.309998333454132e-05,6533,expanding
