dataset,model,model_family,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_time_per_origin,mean_inference_time_per_origin,rmse_pct_difference_vs_naive,rmse_pct_difference_vs_arima,rmse_pct_difference_vs_chronos,mae_pct_difference_vs_naive,mae_pct_difference_vs_arima,mae_pct_difference_vs_chronos,mase_pct_difference_vs_naive,mase_pct_difference_vs_arima,mase_pct_difference_vs_chronos,arima_baseline
Electricity-CISO,Naive,Naive,24,84,1579.5395576830972,1267.857142857143,0.7219853484705245,0.0,0.0,1.3950006437620946e-05,0.0,-49.08736954154873,1.3276744528310847,0.0,-47.37463039716331,6.493664458946435,0.0,-47.391635058779094,6.485186214524652,"Log weekly-difference ARIMA(2,0,2)"
Electricity-CISO,PatchTST,PatchTST,24,84,2859.0314711891783,2070.6043061755954,1.1787303398197229,0.6190476190476191,1.9126566571468997,0.0011457904710411738,81.00410700589656,-7.846047885468177,83.40725229318889,63.31526921948358,-14.054735955378984,73.92041481282187,63.262362915920754,-14.11034030553191,73.85023116925124,"Log weekly-difference ARIMA(2,0,2)"
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",ARIMA/SARIMA,168,84,2859.5840540796353,2165.605001367442,1.2339556904076512,0.5238095238095238,28.99204069285493,,0.018634253989890937,0.0,16.581371777225186,0.018045126329258032,0.0,18.019577811091313,0.017747685731483998,0.0,18.010843983400026,"Log weekly-difference ARIMA(2,0,2)"
Electricity-CISO,Chronos-2,Chronos-2,168,84,2452.865333875125,1834.9540318080358,1.0456290699702353,0.6904761904761905,0.0,0.6386781202413009,-14.207018900828306,-14.223002804350637,0.0,-15.253005491661998,-15.268295434791723,0.0,-15.246985522957157,-15.262024552534792,0.0,"Log weekly-difference ARIMA(2,0,2)"
Electricity-CISO,Naive,Naive,168,84,2859.051291200332,2165.214285714286,1.2337367306899345,0.0,0.0,1.3950006437620946e-05,0.0,-0.018630782282591518,16.559651755667293,0.0,-0.018041870650908898,17.998284871519886,0.0,-0.01774453648690777,17.9899035061309,"Log weekly-difference ARIMA(2,0,2)"
Electricity-CISO,PatchTST,PatchTST,168,84,2854.2630961774294,2317.8462844122023,1.3202692332267414,0.6428571428571429,1.9126566571468997,0.0011457904710411738,-0.16747496058009403,-0.18607454096740694,16.364443524837192,7.049279127010966,7.029965434538132,26.31631333719886,7.013854770167693,6.994865657661942,26.265543981511907,"Log weekly-difference ARIMA(2,0,2)"
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,1,380,4.373009479246446,3.143754192074618,3.250326449745297,0.49736842105263157,2.1587474636785613,,0.3436640161324167,0.0,-40.41077755984433,0.5234718240164415,0.0,-46.20390533110454,0.5760860105109122,0.0,-45.59620504907181,"ARIMA(0,1,2)+drift"
SPY,Chronos-2,Chronos-2,1,380,7.338591275692809,5.843833481638055,5.974448019071219,0.46578947368421053,0.0,0.5605374439481622,68.39230301571004,67.81558124949207,0.0,86.86016604498694,85.88709945485935,0.0,84.86961452087999,83.81070675345212,0.0,"ARIMA(0,1,2)+drift"
SPY,Naive,Naive,1,380,4.358032489767754,3.127383222078022,3.2317090261452557,0.002631578947368421,0.0,2.5391049290958205e-05,0.0,-0.3424870115139256,-40.614862906964,0.0,-0.5207458661324993,-46.484046270233534,0.0,-0.5727862689453911,-45.90782251633594,"ARIMA(0,1,2)+drift"
SPY,PatchTST,PatchTST,1,380,37.37554821558554,31.944188087864926,32.40558415534922,0.45526315789473687,7.990199388423934,0.001302306314219524,757.6243592341216,754.6871071961652,409.3014014744547,921.4350407187796,916.1159599690077,446.63070377068334,902.7383001743266,896.9947528774716,442.4029810269728,"ARIMA(0,1,2)+drift"
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,5,380,10.079375006854594,7.208609858795971,7.34745617212971,0.6342105263157894,2.1587474636785613,,-1.0524061781754135,0.0,-13.134337042092847,-2.6628899306583853,0.0,-19.243580178074094,-2.7276999556300585,0.0,-19.39957332830925,"ARIMA(0,1,2)+drift"
SPY,Chronos-2,Chronos-2,5,380,11.60340537749513,8.926361365067333,9.11590232897657,0.4131578947368421,0.0,0.5605374439481622,13.908753415917662,15.120286422561936,0.0,20.531730212876464,23.82916456735906,0.0,20.684596919801223,24.068822125879574,0.0,"ARIMA(0,1,2)+drift"
SPY,Naive,Naive,5,380,10.186579195654392,7.405818658126029,7.553492791656237,0.0,0.0,2.5391049290958205e-05,0.0,1.0635995657160668,-12.210434228116174,0.0,2.7357396667739398,-17.034294767539183,0.0,2.8041898406697907,-17.139384352045195,"ARIMA(0,1,2)+drift"
SPY,PatchTST,PatchTST,5,380,38.51698195995799,32.91617098356548,33.39915182698858,0.42894736842105263,7.990199388423934,0.001302306314219524,278.1149807031332,282.1366099957991,231.94549967772295,344.4636373515335,356.6230053829456,268.7523912305469,342.16831535050983,354.56755432822956,266.3833882996227,"ARIMA(0,1,2)+drift"
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,20,380,19.699481443502528,14.7514987760316,15.148208392291249,0.7026315789473684,2.1587474636785613,,-3.271007078145316,0.0,-5.977252185909787,-6.311568228782094,0.0,-10.699945497783958,-6.3411495796947275,0.0,-10.364254654678607,"ARIMA(0,1,2)+drift"
SPY,Chronos-2,Chronos-2,20,380,20.95182485248572,16.519025501451996,16.899740537586684,0.4421052631578947,0.0,0.5605374439481622,2.8782876172854355,6.357240481557214,0.0,4.914193270613243,11.982014521075612,0.0,4.488282056990633,11.562635659189713,0.0,"ARIMA(0,1,2)+drift"
SPY,Naive,Naive,20,380,20.36564306982636,15.74527238544665,16.1738141396268,0.0,0.0,2.5391049290958205e-05,0.0,3.381620111343331,-2.7977600365908906,0.0,6.736763663836953,-4.68401187429206,0.0,6.7704755623607005,-4.295488420933758,"ARIMA(0,1,2)+drift"
SPY,PatchTST,PatchTST,20,380,41.89237976387586,35.832579241300884,36.455032095977415,0.3868421052631579,7.990199388423934,0.001302306314219524,105.70123722704055,112.65727163439223,99.94621021712938,127.57675043094791,142.90805826132095,116.91702841763431,125.395393945207,140.65573401095386,115.7135608969726,"ARIMA(0,1,2)+drift"
