dataset,horizon,metric,model,model_family,value,rank
SPY,1,rmse,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,4.373009479246446,2
SPY,1,rmse,Chronos-2,Chronos-2,7.338591275692809,3
SPY,1,rmse,PatchTST,PatchTST,37.37554821558554,4
SPY,5,mae,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,7.208609858795971,1
SPY,5,mae,Naive,Naive,7.405818658126029,2
SPY,5,mae,Chronos-2,Chronos-2,8.926361365067333,3
SPY,5,mae,PatchTST,PatchTST,32.91617098356548,4
SPY,5,mase,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,7.34745617212971,1
SPY,5,mase,Naive,Naive,7.553492791656237,2
SPY,5,mase,Chronos-2,Chronos-2,9.11590232897657,3
SPY,5,mase,PatchTST,PatchTST,33.39915182698858,4
SPY,5,rmse,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,10.079375006854594,1
SPY,5,rmse,Naive,Naive,10.186579195654392,2
SPY,5,rmse,Chronos-2,Chronos-2,11.60340537749513,3
SPY,5,rmse,PatchTST,PatchTST,38.51698195995799,4
SPY,20,mae,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,14.7514987760316,1
SPY,20,mae,Naive,Naive,15.74527238544665,2
SPY,20,mae,Chronos-2,Chronos-2,16.519025501451996,3
SPY,20,mae,PatchTST,PatchTST,35.832579241300884,4
SPY,20,mase,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,15.148208392291249,1
SPY,20,mase,Naive,Naive,16.1738141396268,2
SPY,20,mase,Chronos-2,Chronos-2,16.899740537586684,3
SPY,20,mase,PatchTST,PatchTST,36.455032095977415,4
SPY,20,rmse,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,19.699481443502528,1
SPY,20,rmse,Naive,Naive,20.36564306982636,2
SPY,20,rmse,Chronos-2,Chronos-2,20.95182485248572,3
SPY,20,rmse,PatchTST,PatchTST,41.89237976387586,4
