date,y
1993-01-29,24.113265991210938
1993-02-01,24.284774780273438
1993-02-02,24.336204528808594
1993-02-03,24.593475341796875
1993-02-04,24.696367263793945
1993-02-05,24.6792049407959
1993-02-08,24.6792049407959
1993-02-09,24.507713317871094
1993-02-10,24.54201889038086
1993-02-11,24.662063598632812
1993-02-12,24.473419189453125
1993-02-16,23.85599708557129
1993-02-17,23.8388614654541
1993-02-18,23.821691513061523
1993-02-19,23.90744972229004
1993-02-22,23.99320411682129
1993-02-23,23.97604751586914
1993-02-24,24.284774780273438
1993-02-25,24.336204528808594
1993-02-26,24.370519638061523
1993-03-01,24.301916122436523
1993-03-02,24.662063598632812
1993-03-03,24.76496124267578
1993-03-04,24.62775230407715
1993-03-05,24.559160232543945
1993-03-08,25.107969284057617
1993-03-09,25.022218704223633
1993-03-10,25.073680877685547
1993-03-11,25.005083084106445
1993-03-12,24.747825622558594
1993-03-15,24.867870330810547
1993-03-16,24.867870330810547
1993-03-17,24.713520050048828
1993-03-18,24.867870330810547
1993-03-19,24.830215454101562
1993-03-22,24.692392349243164
1993-03-23,24.744083404541016
1993-03-24,24.744083404541016
1993-03-25,24.8991641998291
1993-03-26,24.761316299438477
1993-03-29,24.86469268798828
1993-03-30,24.933631896972656
1993-03-31,24.9163818359375
1993-04-01,24.830215454101562
1993-04-02,24.313289642333984
1993-04-05,24.43391227722168
1993-04-06,24.364999771118164
1993-04-07,24.451141357421875
1993-04-08,24.416702270507812
1993-04-12,24.761316299438477
1993-04-13,24.813003540039062
1993-04-14,24.778545379638672
1993-04-15,24.778545379638672
1993-04-16,24.778545379638672
1993-04-19,24.67514991760254
1993-04-20,24.55455207824707
1993-04-21,24.537315368652344
1993-04-22,24.227134704589844
1993-04-23,24.123746871948242
1993-04-26,23.934202194213867
1993-04-27,24.19268798828125
1993-04-28,24.1409912109375
1993-04-29,24.244382858276367
1993-04-30,24.278839111328125
1993-05-03,24.43391227722168
1993-05-04,24.52007293701172
1993-05-05,24.589012145996094
1993-05-06,24.50284767150879
1993-05-07,24.451141357421875
1993-05-10,24.50284767150879
1993-05-11,24.606233596801758
1993-05-12,24.571779251098633
1993-05-13,24.278839111328125
1993-05-14,24.261611938476562
1993-05-17,24.34776496887207
1993-05-18,24.330524444580078
1993-05-19,24.830215454101562
1993-05-20,24.8991641998291
1993-05-21,24.67514991760254
1993-05-24,24.778545379638672
1993-05-25,24.830215454101562
1993-05-26,25.140399932861328
1993-05-27,25.054237365722656
1993-05-28,24.933631896972656
1993-06-01,25.17486572265625
1993-06-02,25.140399932861328
1993-06-03,25.054237365722656
1993-06-04,24.96809196472168
1993-06-07,24.88193130493164
1993-06-08,24.657928466796875
1993-06-09,24.744083404541016
1993-06-10,24.761316299438477
1993-06-11,24.86469268798828
1993-06-14,24.830215454101562
1993-06-15,24.778545379638672
1993-06-16,24.830215454101562
1993-06-17,24.9163818359375
