dataset,model,horizon,n_forecasts,rmse,mae,mean_elapsed_seconds,mase,directional_accuracy
SPY,Naive,1,1897,4.788347160892501,3.298097376202558,1.2505325217744553e-05,3.376989720124115,0.0010542962572482868
SPY,Naive,5,1897,10.036673502919779,7.384815061224343,1.2505325217744553e-05,7.538369660491575,0.0
SPY,Naive,20,1897,19.977001590196473,15.503378820343903,1.2505325217744553e-05,15.946660569114549,0.0
