horizon,n_forecasts,changed_origins,rmse_before_retry,rmse_after_retry,rmse_pct_change,mae_before_retry,mae_after_retry,mae_pct_change,max_absolute_forecast_change
1,380,25,4.37299825082793,4.373009479246446,0.0002567670479569628,3.1437435602311696,3.143754192074618,0.00033819054399142345,0.000660984020782962
5,380,25,10.079371978180879,10.079375006854594,3.004823834196202e-05,7.208649486699594,7.208609858795971,-0.0005497271534093962,0.00305031672860423
20,380,25,19.699471792495064,19.699481443502528,4.8991199186332324e-05,14.751591197666146,14.7514987760316,-0.0006265197652788324,0.01202447028424558
