dataset,model,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_inference_time,mean_elapsed_seconds
Airline,Chronos-2,1,13,13.852603266609545,10.606276292067308,0.36363995077280326,0.9230769230769231,0.017823792304485463,0.017823792304485463
Airline,Chronos-2,3,13,22.17024892215352,16.496431790865383,0.562060116029945,1.0,0.017823792304485463,0.017823792304485463
Airline,Chronos-2,12,13,26.428231366771264,22.86082810621995,0.7886000509860038,1.0,0.017823792304485463,0.017823792304485463
