horizon,converged,n_forecasts,rmse,mae,mean_iterations,mean_mase_scale
1,False,25,3.557770825892783,2.969577931153111,1.96,1.0338243125576054
1,True,355,4.424751087269356,3.156008745377514,2.7098591549295774,0.9701666662658774
5,False,25,10.810513513180545,8.066227892272643,1.96,1.0338243125576054
5,True,355,10.025873702204587,7.148256641236702,2.7098591549295774,0.9701666662658774
20,False,25,22.560481911122757,18.697674786230678,1.96,1.0338243125576054
20,True,355,19.482162891588292,14.473697987203856,2.7098591549295774,0.9701666662658774
