origin,saved_converged,rerun_converged,warnflag,task,iterations,function_calls,objective_value,gradient_l2_norm,gradient_max_abs,drift,ma.L1,ma.L2,sigma2,minimum_ma_root_modulus,training_return_volatility,trailing_20_return_volatility,trailing_60_return_volatility,absolute_1_day_return,absolute_5_day_return,absolute_20_day_return,convergence_matches_saved
2018-12-31,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,80,-3.0469735303854457,0.022487099188116165,0.020491860341920135,0.0003379631015615244,-0.06385512513772312,-0.0548376824465254,0.0001320156103574473,3.7276083384436673,0.011535251325358282,0.018436078619027328,0.015263497285840477,0.008720764117768454,0.037589481530676316,0.08609163795281294,True
2019-01-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,95,-3.046349809266574,0.022693608882369366,0.020796343758178126,0.0003417736437331328,-0.0643563373490101,-0.05479137966459643,0.00013218019542136442,3.725016941836417,0.011542786621722284,0.018885940863646592,0.015790059373246366,0.009351468655879103,0.02703966597044971,0.020315825290151857,True
2019-01-15,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,100,-3.0466164161328857,0.02240075493930355,0.020361220975928466,0.00034371426589258763,-0.06433233813283976,-0.054694826047484074,0.00013211009370496973,3.7280449573773202,0.011539647648142646,0.018667957018437,0.015260764845250815,0.011395507172300867,0.013846317312264489,0.005361781818511879,True
2019-01-23,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,110,-3.0467589102783674,0.021880343653742935,0.01960732967098972,0.0003453754503040323,-0.06438488121442873,-0.054659219497783046,0.00013207299960809568,3.7286784559068376,0.011538017023366202,0.016739736226397125,0.014867357518826391,0.0020902508715394674,0.011684928745338219,0.09016039355872874,True
2019-01-30,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,110,-3.046941311839075,0.022675475416950284,0.020757141916405375,0.0003472932151660452,-0.06446396703242446,-0.05477850572326054,0.000132023912383219,3.72454653335573,0.011536043821299328,0.01168145974213737,0.014513360562301124,0.015707067142124664,0.015707067142124664,0.06827797917017708,True
2019-02-06,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,80,-3.047229972287381,0.02213351685236478,0.01995734471016414,0.00035009715205118616,-0.06423805405336197,-0.05470116564862898,0.00013194835897518723,3.728602829285884,0.011532515895436465,0.007144341796556578,0.014200405708187522,0.0013191439534310234,0.01910016637717593,0.0603384795769033,True
2019-02-13,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,105,-3.047459581951896,0.022485656054126266,0.020486356255844333,0.00035098237251716193,-0.06418744581091468,-0.05475931549362605,0.00013188728665758528,3.7272911422467425,0.011529851426291706,0.007497041341125206,0.014057558219748063,0.0032413459040263604,0.008215453225123959,0.05470761548976277,True
2019-02-21,False,False,2,ABNORMAL: ,1,180,-3.0477612496517668,0.02198466179551768,0.01974744736621398,0.00035219357058597603,-0.0641909006747705,-0.05471816952931318,0.00013180830318156714,3.7284745442053664,0.01152635985836562,0.006481606465682506,0.01365442660211424,0.003561881674244205,0.008798300281475768,0.05182098702590032,True
2019-02-28,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,80,-3.0481187011360755,0.021994819725202022,0.019755869429260945,0.00035261416332572107,-0.06420290468207504,-0.05470965997842616,0.00013171407047728138,3.7286302884106455,0.011522245546747576,0.005212074191207287,0.013176963338113268,0.0018644983127966697,0.004531306417047354,0.04064522630082301,True
2019-03-07,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,115,-3.048394891622824,0.02158666127403583,0.01914938452252097,0.0003504395530573261,-0.06415107971560648,-0.054672079142714325,0.0001316417503775174,3.730146823886088,0.011518993147672798,0.005673546020071854,0.012020807808071072,0.008400669066118027,0.013256603002997025,0.008288456920650056,True
