origin,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,parameters,forecast_is_finite,parameters_are_finite
2025-11-11 23:00:00+00:00,True,39,0,-1.4442871288553785,,,"{'const': 0.00012467859796691825, 'ar.L1': 0.26586582847734874, 'ar.L2': 0.3779204067276665, 'ma.L1': 0.65440115731064, 'ma.L2': 0.4349592022513708, 'sigma2': 0.003257954141636988}",False,False,0,,,,,,,,,[],True,39,0,-1.4442871288553785,,,"{'const': 0.00012467859796691825, 'ar.L1': 0.26586582847734874, 'ar.L2': 0.3779204067276665, 'ma.L1': 0.65440115731064, 'ma.L2': 0.4349592022513708, 'sigma2': 0.003257954141636988}",True,True
2025-11-18 23:00:00+00:00,True,41,0,-1.445352778821719,,,"{'const': 5.5894521444044015e-05, 'ar.L1': 0.26581141128371283, 'ar.L2': 0.3780403609647295, 'ma.L1': 0.6544514719506755, 'ma.L2': 0.4346162091116339, 'sigma2': 0.0032510228809294116}",False,False,0,,,,,,,,,[],True,41,0,-1.445352778821719,,,"{'const': 5.5894521444044015e-05, 'ar.L1': 0.26581141128371283, 'ar.L2': 0.3780403609647295, 'ma.L1': 0.6544514719506755, 'ma.L2': 0.4346162091116339, 'sigma2': 0.0032510228809294116}",True,True
2025-11-25 23:00:00+00:00,True,42,0,-1.4464261260934548,,,"{'const': 3.74116674343665e-05, 'ar.L1': 0.2658228221521179, 'ar.L2': 0.37814384244177146, 'ma.L1': 0.654358243336908, 'ma.L2': 0.43420495893317745, 'sigma2': 0.0032440410548340622}",False,False,0,,,,,,,,,[],True,42,0,-1.4464261260934548,,,"{'const': 3.74116674343665e-05, 'ar.L1': 0.2658228221521179, 'ar.L2': 0.37814384244177146, 'ma.L1': 0.654358243336908, 'ma.L2': 0.43420495893317745, 'sigma2': 0.0032440410548340622}",True,True
2025-12-02 23:00:00+00:00,True,44,0,-1.447502394388176,,,"{'const': 6.811215119540801e-05, 'ar.L1': 0.265942356630896, 'ar.L2': 0.3782119019318869, 'ma.L1': 0.6543612686248883, 'ma.L2': 0.4340250797061744, 'sigma2': 0.0032370649685077666}",False,False,0,,,,,,,,,[],True,44,0,-1.447502394388176,,,"{'const': 6.811215119540801e-05, 'ar.L1': 0.265942356630896, 'ar.L2': 0.3782119019318869, 'ma.L1': 0.6543612686248883, 'ma.L2': 0.4340250797061744, 'sigma2': 0.0032370649685077666}",True,True
2025-12-09 23:00:00+00:00,True,42,0,-1.448177748709479,,,"{'const': 0.00022350222524022414, 'ar.L1': 0.2659475941972812, 'ar.L2': 0.37851377783188844, 'ma.L1': 0.6542635267927132, 'ma.L2': 0.433185444392942, 'sigma2': 0.003232701019823329}",False,False,0,,,,,,,,,[],True,42,0,-1.448177748709479,,,"{'const': 0.00022350222524022414, 'ar.L1': 0.2659475941972812, 'ar.L2': 0.37851377783188844, 'ma.L1': 0.6542635267927132, 'ma.L2': 0.433185444392942, 'sigma2': 0.003232701019823329}",True,True
2025-12-16 23:00:00+00:00,True,35,0,-1.449404647171873,,,"{'const': 0.0002828264167996045, 'ar.L1': 0.2658855163306073, 'ar.L2': 0.3786101129354849, 'ma.L1': 0.6542992341407045, 'ma.L2': 0.4330146951180328, 'sigma2': 0.003225267745560539}",False,False,0,,,,,,,,,[],True,35,0,-1.449404647171873,,,"{'const': 0.0002828264167996045, 'ar.L1': 0.2658855163306073, 'ar.L2': 0.3786101129354849, 'ma.L1': 0.6542992341407045, 'ma.L2': 0.4330146951180328, 'sigma2': 0.003225267745560539}",True,True
2025-12-23 23:00:00+00:00,True,56,0,-1.4506120725515013,,,"{'const': 0.0001688438498245651, 'ar.L1': 0.2660476187330798, 'ar.L2': 0.37860818226087856, 'ma.L1': 0.6542239174958968, 'ma.L2': 0.4329105045818201, 'sigma2': 0.0032168065331080855}",False,False,0,,,,,,,,,[],True,56,0,-1.4506120725515013,,,"{'const': 0.0001688438498245651, 'ar.L1': 0.2660476187330798, 'ar.L2': 0.37860818226087856, 'ma.L1': 0.6542239174958968, 'ma.L2': 0.4329105045818201, 'sigma2': 0.0032168065331080855}",True,True
2025-12-30 23:00:00+00:00,True,39,0,-1.451560096087987,,,"{'const': -2.0019454493891062e-05, 'ar.L1': 0.26623634862249773, 'ar.L2': 0.37892512092777003, 'ma.L1': 0.6541494161569864, 'ma.L2': 0.4324544443757877, 'sigma2': 0.0032109822718681446}",False,False,0,,,,,,,,,[],True,39,0,-1.451560096087987,,,"{'const': -2.0019454493891062e-05, 'ar.L1': 0.26623634862249773, 'ar.L2': 0.37892512092777003, 'ma.L1': 0.6541494161569864, 'ma.L2': 0.4324544443757877, 'sigma2': 0.0032109822718681446}",True,True
2026-01-06 23:00:00+00:00,True,41,0,-1.4526121034055728,,,"{'const': 1.4245415330827037e-05, 'ar.L1': 0.2662416244636284, 'ar.L2': 0.37896765260871795, 'ma.L1': 0.6540528438140392, 'ma.L2': 0.43206075385420534, 'sigma2': 0.0032041745733054185}",False,False,0,,,,,,,,,[],True,41,0,-1.4526121034055728,,,"{'const': 1.4245415330827037e-05, 'ar.L1': 0.2662416244636284, 'ar.L2': 0.37896765260871795, 'ma.L1': 0.6540528438140392, 'ma.L2': 0.43206075385420534, 'sigma2': 0.0032041745733054185}",True,True
2026-01-13 23:00:00+00:00,True,35,0,-1.4535624008482282,,,"{'const': 0.00014652192292036265, 'ar.L1': 0.266366030359176, 'ar.L2': 0.3791480722013374, 'ma.L1': 0.6541219214437911, 'ma.L2': 0.4318361823326871, 'sigma2': 0.003198126198020903}",False,False,0,,,,,,,,,[],True,35,0,-1.4535624008482282,,,"{'const': 0.00014652192292036265, 'ar.L1': 0.266366030359176, 'ar.L2': 0.3791480722013374, 'ma.L1': 0.6541219214437911, 'ma.L2': 0.4318361823326871, 'sigma2': 0.003198126198020903}",True,True
