dataset,model,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_inference_time,mean_elapsed_seconds
Electricity-CISO,Chronos-2,1,84,554.7672363229608,430.1655738467262,0.24525831323049163,0.7976190476190477,0.6386781202413009,0.6386781202413009
Electricity-CISO,Chronos-2,24,84,1558.8431948257005,1190.5470145089287,0.6780148245372044,0.6547619047619048,0.6386781202413009,0.6386781202413009
Electricity-CISO,Chronos-2,168,84,2452.865333875125,1834.9540318080358,1.0456290699702353,0.6904761904761905,0.6386781202413009,0.6386781202413009
