dataset,model,horizon,n_forecasts,rmse,mae,mean_elapsed_seconds,mase,directional_accuracy,convergence_rate,n_nonconverged,mean_iterations
SPY,Naive,1,380,4.358032489767754,3.127383222078022,2.5391049290958205e-05,3.2317090261452557,0.002631578947368421,,,
SPY,Naive,5,380,10.186579195654392,7.405818658126029,2.5391049290958205e-05,7.553492791656237,0.0,,,
SPY,Naive,20,380,20.36564306982636,15.74527238544665,2.5391049290958205e-05,16.1738141396268,0.0,,,
SPY,"ARIMA(0,1,2)+drift",1,380,4.373009479246447,3.14375419207462,2.1587474636785613,3.250326449745297,0.49736842105263157,1.0,0.0,2.5973684210526318
SPY,"ARIMA(0,1,2)+drift",5,380,10.079375006854596,7.20860985879597,2.1587474636785613,7.34745617212971,0.6342105263157894,1.0,0.0,2.5973684210526318
SPY,"ARIMA(0,1,2)+drift",20,380,19.699481443502528,14.751498776031603,2.1587474636785613,15.148208392291247,0.7026315789473684,1.0,0.0,2.5973684210526318
