dataset,model,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_seconds,mean_inference_seconds
Airline,PatchTST,1,13,87.73722289707808,67.89648907001202,2.330234026268656,0.5384615384615384,0.821804538458729,0.0010535153828991146
Airline,PatchTST,3,13,89.7498296745643,71.96363713191106,2.4858584287267687,0.46153846153846156,0.821804538458729,0.0010535153828991146
Airline,PatchTST,12,13,102.05587966195134,80.89342557466946,2.7651922103850817,0.46153846153846156,0.821804538458729,0.0010535153828991146
