horizon,converged,n_forecasts,rmse,mae,mean_iterations,mean_mase_scale
1,False,1,0.018281550504696042,0.018281550504696042,24.0,29.794871794871796
1,True,12,10.444199885607986,9.21178811852061,24.916666666666668,29.19992058984732
3,False,1,12.229352606034183,12.229352606034183,24.0,29.794871794871796
3,True,12,18.483467761278547,13.459630091129233,24.916666666666668,29.19992058984732
12,False,1,6.127490481638347,6.127490481638347,24.0,29.794871794871796
12,True,12,22.050895421889958,19.97886641470778,24.916666666666668,29.19992058984732
