dataset,model,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_seconds,mean_inference_seconds
SPY,PatchTST,1,380,37.37554821558554,31.944188087864926,32.40558415534922,0.45526315789473687,7.990199388423934,0.0013023063142195736
SPY,PatchTST,5,380,38.51698195995799,32.91617098356548,33.39915182698858,0.42894736842105263,7.990199388423934,0.0013023063142195736
SPY,PatchTST,20,380,41.89237976387586,35.832579241300884,36.455032095977415,0.3868421052631579,7.990199388423934,0.0013023063142195736
