horizon,converged,n_forecasts,rmse,mae,mean_iterations,mean_mase_scale
1,False,1,1703.903862853338,1703.903862853338,42.0,1774.708128750682
1,True,83,927.7541813237448,707.8618302169339,41.0,1755.9256718391923
24,False,1,7690.900797656366,7690.900797656366,42.0,1774.708128750682
24,True,83,3004.749611043378,2345.5780093443263,41.0,1755.9256718391923
168,False,1,1094.6153541385065,1094.6153541385065,42.0,1774.708128750682
168,True,83,2874.2487296339395,2178.5084910930923,41.0,1755.9256718391923
