dataset,model,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_seconds,mean_inference_seconds
Electricity-CISO,PatchTST,1,84,2742.1475610886678,1911.0755440848213,1.0877095435250836,0.6071428571428571,1.9126566571468997,0.0011457904710412202
Electricity-CISO,PatchTST,24,84,2859.0314711891783,2070.6043061755954,1.1787303398197229,0.6190476190476191,1.9126566571468997,0.0011457904710412202
Electricity-CISO,PatchTST,168,84,2854.2630961774294,2317.8462844122023,1.3202692332267414,0.6428571428571429,1.9126566571468997,0.0011457904710412202
