origin,forecast_origin,training_data_end,validation_start,validation_end,scaler_fit_end,scaler_mean,scaler_std,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,model_identifier,model_configuration,transformers_version,device
2021-09-27,2021-09-27,2020-09-25,2020-09-28,2021-09-27,2020-09-25,107.87649536132812,67.99740600585938,252,21,7,20,5,1339,47,23,18,True,0.32732653617858887,12.772053799941204,0.0013990000588819385,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-10-04,2021-10-04,2020-10-02,2020-10-05,2021-10-04,2020-10-02,108.02093505859375,68.18648529052734,252,21,7,20,5,1340,47,11,6,True,0.47887781262397766,6.121597999939695,0.0013381000608205795,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-10-11,2021-10-11,2020-10-09,2020-10-12,2021-10-11,2020-10-09,108.16963195800781,68.38787841796875,252,21,7,20,5,1341,47,16,11,True,0.42067950963974,8.897038500057533,0.0011404999531805515,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-10-18,2021-10-18,2020-10-16,2020-10-19,2021-10-18,2020-10-16,108.32330322265625,68.6039810180664,252,21,7,20,5,1342,47,24,19,True,0.3014499545097351,13.374007900012657,0.0011382000520825386,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-10-25,2021-10-25,2020-10-23,2020-10-26,2021-10-25,2020-10-23,108.47322845458984,68.80783081054688,252,21,7,20,5,1343,47,23,18,True,0.319812536239624,12.869490200071596,0.0013655000366270542,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-11-01,2021-11-01,2020-10-30,2020-11-02,2021-11-01,2020-10-30,108.61528778076172,68.98805236816406,252,21,7,20,5,1344,47,22,17,True,0.3152598738670349,12.174274699995294,0.0011586000910028815,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-11-08,2021-11-08,2020-11-06,2020-11-09,2021-11-08,2020-11-06,108.7636947631836,69.18653869628906,252,21,7,20,5,1345,47,19,14,True,0.27407515048980713,10.732262799981982,0.0011345000239089131,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-11-15,2021-11-15,2020-11-13,2020-11-16,2021-11-15,2020-11-13,108.92063903808594,69.41056823730469,252,21,7,20,5,1346,47,23,18,True,0.2427244931459427,13.053348199930042,0.0011542999418452382,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-11-22,2021-11-22,2020-11-20,2020-11-23,2021-11-22,2020-11-20,109.07947540283203,69.63992309570312,252,21,7,20,5,1347,47,14,9,True,0.30541566014289856,7.92940040002577,0.0013899999903514981,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-11-30,2021-11-30,2020-11-30,2020-12-01,2021-11-30,2020-11-30,109.2402572631836,69.87479400634766,252,21,7,20,5,1348,47,21,16,True,0.31293803453445435,11.86391499999445,0.001257500029169023,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-12-07,2021-12-07,2020-12-07,2020-12-08,2021-12-07,2020-12-07,109.40469360351562,70.12075805664062,252,21,7,20,5,1349,47,25,20,True,0.3277132213115692,14.18419130006805,0.0011569999624043703,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-12-14,2021-12-14,2020-12-14,2020-12-15,2021-12-14,2020-12-14,109.56838989257812,70.36351013183594,252,21,7,20,5,1350,47,26,21,True,0.19234243035316467,15.778764000046067,0.00141629995778203,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-12-21,2021-12-21,2020-12-21,2020-12-22,2021-12-21,2020-12-21,109.73416900634766,70.61222839355469,252,21,7,20,5,1351,47,16,11,True,0.33667704463005066,9.207725599990226,0.00137489999178797,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2021-12-29,2021-12-29,2020-12-29,2020-12-30,2021-12-29,2020-12-29,109.90010070800781,70.86071014404297,252,21,7,20,5,1352,47,12,7,True,0.315563827753067,6.874861099990085,0.0011246999492868781,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2022-01-05,2022-01-05,2021-01-06,2021-01-07,2022-01-05,2021-01-06,110.06742095947266,71.11283111572266,252,21,7,20,5,1353,47,23,18,True,0.2026263028383255,13.070198299945332,0.0014665999915450811,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
