origin,forecast_origin,training_data_end,validation_start,validation_end,scaler_fit_end,scaler_mean,scaler_std,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,model_identifier,model_configuration,transformers_version,device
2025-04-08 23:00:00+00:00,2025-04-08 23:00:00+00:00,2025-02-11 23:00:00+00:00,2025-02-12 00:00:00+00:00,2025-04-08 23:00:00+00:00,2025-02-11 23:00:00+00:00,25015.53515625,4786.5390625,336,24,12,168,168,317,8,9,4,True,0.16774766147136688,1.2534195999614894,0.0012604000512510538,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-04-15 23:00:00+00:00,2025-04-15 23:00:00+00:00,2025-02-18 23:00:00+00:00,2025-02-19 00:00:00+00:00,2025-04-15 23:00:00+00:00,2025-02-18 23:00:00+00:00,25011.4765625,4781.63818359375,336,24,12,168,168,318,8,9,4,True,0.17183879017829895,1.2222482999786735,0.0010198000818490982,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-04-22 23:00:00+00:00,2025-04-22 23:00:00+00:00,2025-02-25 23:00:00+00:00,2025-02-26 00:00:00+00:00,2025-04-22 23:00:00+00:00,2025-02-25 23:00:00+00:00,25003.216796875,4777.9208984375,336,24,12,168,168,319,8,10,5,True,0.1610107421875,1.3946617000037804,0.001057300018146634,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-04-29 23:00:00+00:00,2025-04-29 23:00:00+00:00,2025-03-04 23:00:00+00:00,2025-03-05 00:00:00+00:00,2025-04-29 23:00:00+00:00,2025-03-04 23:00:00+00:00,24994.810546875,4774.134765625,336,24,12,168,168,320,8,16,11,True,0.15732744336128235,2.120028200093657,0.0012786999577656388,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-05-06 23:00:00+00:00,2025-05-06 23:00:00+00:00,2025-03-11 23:00:00+00:00,2025-03-12 00:00:00+00:00,2025-05-06 23:00:00+00:00,2025-03-11 23:00:00+00:00,24987.2421875,4770.654296875,336,24,12,168,168,321,8,9,4,True,0.1591746211051941,1.2948268000036478,0.001021199976094067,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-05-13 23:00:00+00:00,2025-05-13 23:00:00+00:00,2025-03-18 23:00:00+00:00,2025-03-19 00:00:00+00:00,2025-05-13 23:00:00+00:00,2025-03-18 23:00:00+00:00,24981.18359375,4766.19970703125,336,24,12,168,168,322,8,12,7,True,0.17270730435848236,1.8281818999676034,0.001030400046147406,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-05-20 23:00:00+00:00,2025-05-20 23:00:00+00:00,2025-03-25 23:00:00+00:00,2025-03-26 00:00:00+00:00,2025-05-20 23:00:00+00:00,2025-03-25 23:00:00+00:00,24970.94140625,4763.95263671875,336,24,12,168,168,323,8,8,3,True,0.16205739974975586,1.1604273000266403,0.0011875999625772238,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-05-27 23:00:00+00:00,2025-05-27 23:00:00+00:00,2025-04-01 23:00:00+00:00,2025-04-02 00:00:00+00:00,2025-05-27 23:00:00+00:00,2025-04-01 23:00:00+00:00,24963.109375,4760.09033203125,336,24,12,168,168,324,8,19,14,True,0.16472089290618896,2.7924109998857602,0.0010176000650972128,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-06-03 23:00:00+00:00,2025-06-03 23:00:00+00:00,2025-04-08 23:00:00+00:00,2025-04-09 00:00:00+00:00,2025-06-03 23:00:00+00:00,2025-04-08 23:00:00+00:00,24954.396484375,4756.650390625,336,24,12,168,168,325,8,7,2,True,0.21930421888828278,1.039136299979873,0.001004299963824451,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-06-10 23:00:00+00:00,2025-06-10 23:00:00+00:00,2025-04-15 23:00:00+00:00,2025-04-16 00:00:00+00:00,2025-06-10 23:00:00+00:00,2025-04-15 23:00:00+00:00,24948.7265625,4752.1181640625,336,24,12,168,168,326,8,15,10,True,0.23037798702716827,2.1848363999743015,0.0010077999904751778,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-06-17 23:00:00+00:00,2025-06-17 23:00:00+00:00,2025-04-22 23:00:00+00:00,2025-04-23 00:00:00+00:00,2025-06-17 23:00:00+00:00,2025-04-22 23:00:00+00:00,24941.767578125,4748.45361328125,336,24,12,168,168,327,8,7,2,True,0.24107399582862854,1.027132200077176,0.0012122000334784389,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-06-24 23:00:00+00:00,2025-06-24 23:00:00+00:00,2025-04-29 23:00:00+00:00,2025-04-30 00:00:00+00:00,2025-06-24 23:00:00+00:00,2025-04-29 23:00:00+00:00,24935.849609375,4743.45947265625,336,24,12,168,168,328,8,7,2,True,0.26245445013046265,1.016593800042756,0.0010300000431016088,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-07-01 23:00:00+00:00,2025-07-01 23:00:00+00:00,2025-05-06 23:00:00+00:00,2025-05-07 00:00:00+00:00,2025-07-01 23:00:00+00:00,2025-05-06 23:00:00+00:00,24930.484375,4738.53955078125,336,24,12,168,168,329,8,13,8,True,0.3206089735031128,1.8383524999953806,0.0010562000097706914,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-07-08 23:00:00+00:00,2025-07-08 23:00:00+00:00,2025-05-13 23:00:00+00:00,2025-05-14 00:00:00+00:00,2025-07-08 23:00:00+00:00,2025-05-13 23:00:00+00:00,24930.2578125,4733.7509765625,336,24,12,168,168,330,8,7,2,True,0.32221004366874695,1.0052242999663576,0.0010104000102728605,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-07-15 23:00:00+00:00,2025-07-15 23:00:00+00:00,2025-05-20 23:00:00+00:00,2025-05-21 00:00:00+00:00,2025-07-15 23:00:00+00:00,2025-05-20 23:00:00+00:00,24926.794921875,4728.7802734375,336,24,12,168,168,331,8,12,7,True,0.3361780643463135,1.867058900068514,0.0010582000249996781,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
